Date,Code,ShortMarginTradeVolume,LongMarginTradeVolume,ShortNegotiableMarginTradeVolume,LongNegotiableMarginTradeVolume,ShortStandardizedMarginTradeVolume,LongStandardizedMarginTradeVolume,IssueType
2024-06-28,72030,2656400,23097000,536600,6833000,2119800,16264000,2
2024-07-05,72030,1387700,22980700,490700,6800600,897000,16180100,2
2024-07-12,72030,1257300,22994600,477800,6792300,779500,16202300,2
2024-07-19,72030,1655900,23991400,446200,6976800,1209700,17014600,2
2024-07-26,72030,3624900,24655500,375000,7133000,3249900,17522500,2
2024-08-02,72030,962900,28629700,407500,8088400,555400,20541300,2
2024-08-09,72030,1237700,24244600,371700,6746100,866000,17498500,2
2024-08-16,72030,1815200,22950300,313000,6415200,1502200,16535100,2
2024-08-23,72030,2338300,23614200,426800,6743700,1911500,16870500,2
2024-08-30,72030,1646500,21988900,301200,6486000,1345300,15502900,2
2024-09-06,72030,1306100,22571400,269400,6636200,1036700,15935200,2
2024-09-13,72030,1285500,23512500,254300,6959700,1031200,16552800,2
2024-09-20,72030,1680100,22323800,312300,6834800,1367800,15489000,2
2024-09-27,72030,1530500,20588400,307300,6579200,1223200,14009200,2
2024-10-04,72030,1175700,22729100,273600,7178500,902100,15550600,2
2024-10-11,72030,1085000,23063600,259300,7327500,825700,15736100,2
2024-10-18,72030,997200,23003900,275100,7449600,722100,15554300,2
2024-10-25,72030,1231900,20175100,280900,6945100,951000,13230000,2
2024-11-01,72030,1259300,19581300,327600,6969800,931700,12611500,2
2024-11-08,72030,1477600,17699200,274600,6651200,1203000,11048000,2
2024-11-15,72030,1524900,16129500,286500,6148400,1238400,9981100,2
2024-11-22,72030,1049700,16600800,259400,6263500,790300,10337300,2
2024-11-29,72030,1023800,18264200,273100,6936100,750700,11328100,2
2024-12-06,72030,1200800,16310900,319000,6530400,881800,9780500,2
2024-12-13,72030,1425500,14550500,323200,6143800,1102300,8406700,2
2024-12-20,72030,1832100,12641600,364300,5632600,1467800,7009000,2
2024-12-27,72030,3297700,12019600,505900,5818900,2791800,6200700,2
2025-01-10,72030,2382200,14085600,396000,6300600,1986200,7785000,2
2025-01-17,72030,1320600,14233700,321400,6366200,999200,7867500,2
2025-01-24,72030,2401300,13676800,373200,6230200,2028100,7446600,2
2025-01-31,72030,2322200,12728500,372700,6054000,1949500,6674500,2
2025-02-07,72030,1106200,15671700,270800,6831900,835400,8839800,2
2025-02-14,72030,825800,16067200,244500,7034700,581300,9032500,2
2025-02-21,72030,1333800,17175700,283600,7373700,1050200,9802000,2
2025-02-28,72030,1270700,16405000,235000,7065600,1035700,9339400,2
2025-03-07,72030,1274800,15330000,253200,6870200,1021600,8459800,2
2025-03-14,72030,1377100,15440500,248500,6857000,1128600,8583500,2
2025-03-21,72030,1625900,14004500,279800,6409900,1346100,7594600,2
2025-03-28,72030,985000,16921200,218600,7357300,766400,9563900,2
2025-04-04,72030,1072500,18737900,283200,7553500,789300,11184400,2
2025-04-11,72030,2001000,16735500,259900,6569400,1741100,10166100,2
2025-04-18,72030,2389100,16156700,305000,6490700,2084100,9666000,2
2025-04-25,72030,3465200,14100300,450400,6000700,3014800,8099600,2
2025-05-02,72030,3906500,12845100,505900,5834300,3400600,7010800,2
2025-05-09,72030,4289000,13352400,446900,5855400,3842100,7497000,2
2025-05-16,72030,3752200,15131500,350900,6174900,3401300,8956600,2
2025-05-23,72030,4182500,14988400,331600,6200600,3850900,8787800,2
2025-05-30,72030,5023700,13127800,603400,5978000,4420300,7149800,2
2025-06-06,72030,3643400,15540100,318700,6671200,3324700,8868900,2
2025-06-13,72030,3237400,18780000,286700,7682100,2950700,11097900,2
2025-06-20,72030,3027500,20528300,211700,8300100,2815800,12228200,2
2025-06-27,72030,3359000,20236500,294700,8245600,3064300,11990900,2
2025-07-04,72030,2995200,22024100,243700,8671200,2751500,13352900,2
2025-07-11,72030,2842100,21253300,239200,8578200,2602900,12675100,2
2025-07-18,72030,2942800,21648300,240300,9216500,2702500,12431800,2
2025-07-25,72030,4420400,16239200,301200,7463800,4119200,8775400,2
2025-08-01,72030,3042000,16662700,262000,7241800,2780000,9420900,2
